Name,Team,Attack Type,Attack Range,Projectile Speed,Primary Attribute,Strength Gain,Agility Gain,Intelligence Gain,Base Movespeed,Turnrate,Base Damage,Base Armor,Magic Armor,Attack Duration,Attack Action Time,Attack Cooldown,Aggro Range,Sight Range Day,Sight Range Night,Lvl1 Strength,Lvl1 Agility,Lvl1 Intelligence,Lvl1 Damage,Lvl1 Armor,Lvl1 HP,Lvl1 MP,Lvl1 HP Renegeration,Lvl1 MP Regeneration,Lvl25 Strength,Lvl25 Agility,Lvl25 Intelligence,Lvl25 Damage,Lvl25 Armor,Lvl25 HP,Lvl25 MP,Lvl25 HP Renegeration,Lvl25 MP Regeneration
"Kinesis","Legion","ranged",600.0,900.0,"Intelligence",1.8,1.8,2.7,300.0,540.0,"21.0-25.0",0.0,5.5,1000.0,400.0,1700.0,800.0,1800.0,800.0,18.0,16.0,25.0,"46.0-50.0",2.24,492.0,325.0,0.79,1.01,81.0,79.0,109.0,"155.0-159.0",11.06,1689.0,1417.0,2.68,4.37
"Silhouette","Legion","ranged",600.0,1200.0,"Agility",1.8,2.8,1.7,300.0,360.0,"18.0-23.0",-0.5,5.0,1000.0,400.0,1700.0,800.0,1800.0,800.0,17.0,23.0,18.0,"41.0-46.0",2.72,473.0,234.0,0.76,0.73,80.0,110.0,78.0,"151.0-156.0",14.9,1670.0,1014.0,2.65,3.13
"Prophet","Hellbourne","ranged",600.0,1250.0,"Intelligence",1.8,2.0,2.8,300.0,450.0,"22.0-30.0",0.0,5.5,1000.0,350.0,1700.0,800.0,1800.0,800.0,18.0,20.0,24.0,"46.0-54.0",2.8,492.0,312.0,1.54,0.97,81.0,88.0,111.0,"157.0-165.0",12.32,1689.0,1443.0,3.43,4.45
"Witch Slayer","Legion","ranged",600.0,900.0,"Intelligence",1.7,1.5,3.0,290.0,540.0,"19.0-25.0",-1.14,5.5,1000.0,430.0,1700.0,800.0,1800.0,800.0,16.0,16.0,23.0,"42.0-48.0",1.1,454.0,299.0,0.73,0.93,76.0,72.0,115.0,"157.0-163.0",8.94,1594.0,1495.0,2.53,4.61
"Wildsoul","Legion","ranged",550.0,900.0,"Agility",2.1,2.7,1.4,315.0,360.0,"22.0-26.0",0.0,5.0,1000.0,500.0,1700.0,800.0,1800.0,800.0,17.0,24.0,13.0,"46.0-50.0",3.36,473.0,169.0,0.76,0.53,87.0,108.0,66.0,"154.0-158.0",15.12,1803.0,858.0,2.86,2.65
"Arachna","Hellbourne","ranged",600.0,1200.0,"Agility",1.7,3.2,1.5,295.0,450.0,"18.0-29.0",-1.0,5.5,1000.0,400.0,1700.0,800.0,1800.0,800.0,18.0,23.0,15.0,"41.0-52.0",2.22,492.0,195.0,0.79,0.61,78.0,119.0,71.0,"160.0-171.0",15.66,1632.0,923.0,2.59,2.85
"Artesia","Hellbourne","ranged",525.0,1200.0,"Intelligence",1.8,1.0,3.0,300.0,600.0,"15.0-20.0",-1.24,5.5,1000.0,400.0,1700.0,800.0,1800.0,800.0,18.0,15.0,26.0,"41.0-46.0",0.86,492.0,338.0,0.79,1.05,81.0,59.0,118.0,"159.0-164.0",7.02,1689.0,1534.0,2.68,4.73
"Wretched Hag","Hellbourne","ranged",550.0,1500.0,"Intelligence",1.7,2.0,2.5,300.0,500.0,"16.0-24.0",-1.0,5.5,970.0,500.0,1700.0,800.0,1800.0,800.0,16.0,18.0,24.0,"40.0-48.0",1.52,454.0,312.0,0.73,0.97,76.0,86.0,104.0,"144.0-152.0",11.04,1594.0,1352.0,2.53,4.17
"Behemoth","Legion","melee",128.0,"","Strength",2.5,1.4,2.0,300.0,360.0,"23.0-34.0",1.0,5.5,1000.0,500.0,1700.0,600.0,1800.0,800.0,22.0,12.0,17.0,"45.0-56.0",2.68,568.0,221.0,1.66,0.69,102.0,65.0,85.0,"147.0-158.0",10.1,2088.0,1105.0,4.06,3.41
"Blitz","Legion","ranged",450.0,1200.0,"Agility",1.6,2.3,2.3,330.0,450.0,"21.0-27.0",-0.5,5.75,1000.0,400.0,1700.0,800.0,1800.0,800.0,17.0,22.0,18.0,"43.0-49.0",2.58,473.0,234.0,0.76,0.73,75.0,97.0,93.0,"140.0-146.0",13.08,1575.0,1209.0,2.5,3.73
"Bushwack","Hellbourne","ranged",450.0,2500.0,"Agility",1.6,3.0,1.3,300.0,450.0,"18.0-22.0",-0.5,5.5,1000.0,200.0,1700.0,800.0,1800.0,800.0,16.0,27.0,14.0,"45.0-49.0",3.28,454.0,182.0,0.73,0.57,74.0,119.0,65.0,"164.0-168.0",16.16,1556.0,845.0,2.47,2.61
"The Chipper","Legion","ranged",550.0,1500.0,"Intelligence",1.8,1.6,2.5,295.0,540.0,"20.0-27.0",-0.5,5.5,1000.0,450.0,1700.0,800.0,1800.0,800.0,19.0,20.0,23.0,"43.0-50.0",2.3,511.0,299.0,0.82,0.93,82.0,78.0,103.0,"146.0-153.0",10.42,1708.0,1339.0,2.71,4.13
"Cthulhuphant","Hellbourne","melee",128.0,"","Strength",2.8,1.7,1.8,295.0,450.0,"28.0-32.0",2.0,5.0,900.0,450.0,1700.0,600.0,1800.0,800.0,24.0,16.0,18.0,"52.0-56.0",4.24,606.0,234.0,1.72,0.73,111.0,76.0,81.0,"163.0-167.0",12.64,2259.0,1053.0,4.33,3.25
"Dampeer","Hellbourne","melee",128.0,"","Agility",2.0,2.9,1.4,305.0,540.0,"27.0-33.0",-0.68,6.0,1000.0,330.0,1700.0,600.0,1800.0,800.0,21.0,24.0,16.0,"51.0-57.0",2.68,549.0,208.0,1.63,0.65,89.0,113.0,69.0,"164.0-170.0",15.14,1841.0,897.0,3.67,2.77
"Deadwood","Hellbourne","melee",128.0,"","Strength",2.7,2.0,1.5,300.0,540.0,"31.0-36.0",0.5,5.5,700.0,400.0,1700.0,600.0,1800.0,800.0,25.0,16.0,16.0,"56.0-61.0",2.74,625.0,208.0,1.75,0.65,109.0,84.0,72.0,"165.0-170.0",12.26,2221.0,936.0,4.27,2.89
"Lord Salforis","Hellbourne","melee",128.0,"","Strength",2.4,1.2,2.0,290.0,360.0,"22.0-32.0",1.5,5.0,1000.0,375.0,1700.0,600.0,1800.0,800.0,25.0,10.0,20.0,"47.0-57.0",2.9,625.0,260.0,1.75,0.81,102.0,58.0,88.0,"149.0-159.0",9.62,2088.0,1144.0,4.06,3.53
"Drunken Master","Legion","melee",128.0,"","Strength",2.6,1.6,2.0,300.0,540.0,"31.0-36.0",0.5,5.5,700.0,400.0,1700.0,600.0,1800.0,800.0,23.0,17.0,20.0,"54.0-59.0",2.88,587.0,260.0,1.69,0.8,105.0,75.0,88.0,"159.0-164.0",11.0,2145.0,1144.0,4.15,3.52
"Grinex","Hellbourne","melee",128.0,"","Agility",1.8,2.8,1.8,310.0,540.0,"29.0-33.0",0.64,5.5,1070.0,430.0,1500.0,600.0,1800.0,800.0,19.0,22.0,16.0,"51.0-55.0",3.72,511.0,208.0,1.57,0.65,82.0,109.0,79.0,"160.0-164.0",15.9,1708.0,1027.0,3.46,3.17
"Gunblade","Hellbourne","ranged",600.0,1200.0,"Agility",2.2,2.6,1.7,310.0,450.0,"23.0-29.0",-0.1,5.5,1000.0,400.0,1700.0,800.0,1800.0,800.0,19.0,22.0,14.0,"45.0-51.0",2.98,511.0,182.0,0.82,0.57,91.0,104.0,74.0,"149.0-155.0",14.46,1879.0,962.0,2.98,2.97
"Night Hound","Legion","melee",128.0,"","Agility",2.0,2.5,1.3,305.0,540.0,"24.0-28.0",3.0,5.0,1000.0,400.0,1700.0,600.0,1800.0,800.0,17.0,24.0,16.0,"48.0-52.0",6.36,473.0,208.0,1.51,0.65,85.0,104.0,67.0,"152.0-156.0",17.56,1765.0,871.0,3.55,2.69
"Hellbringer","Hellbourne","ranged",600.0,900.0,"Intelligence",2.1,1.2,2.9,295.0,450.0,"22.0-32.0",0.0,5.5,1200.0,350.0,1700.0,800.0,1800.0,800.0,17.0,10.0,24.0,"46.0-56.0",1.4,473.0,312.0,0.76,0.97,87.0,58.0,113.0,"159.0-169.0",8.12,1803.0,1469.0,2.86,4.53
"Swiftblade","Legion","melee",128.0,"","Agility",1.9,2.9,1.3,305.0,540.0,"24.0-28.0",1.1,5.5,1000.0,330.0,1700.0,600.0,1800.0,800.0,20.0,20.0,17.0,"44.0-48.0",3.9,530.0,221.0,1.6,0.69,85.0,109.0,68.0,"153.0-157.0",16.36,1765.0,884.0,3.55,2.73
"Blood Hunter","Hellbourne","melee",128.0,"","Agility",2.0,2.6,1.7,320.0,450.0,"29.0-35.0",0.0,5.5,1000.0,500.0,1700.0,600.0,1800.0,800.0,23.0,24.0,18.0,"53.0-59.0",3.36,587.0,234.0,1.69,0.73,91.0,106.0,78.0,"159.0-165.0",14.84,1879.0,1014.0,3.73,3.13
"Magebane","Legion","melee",128.0,"","Agility",1.7,2.8,1.5,315.0,450.0,"24.0-28.0",0.0,5.5,800.0,300.0,1450.0,600.0,1800.0,800.0,16.0,22.0,15.0,"46.0-50.0",3.08,454.0,195.0,1.48,0.61,76.0,109.0,71.0,"155.0-159.0",15.26,1594.0,923.0,3.28,2.85
"Kraken","Hellbourne","melee",128.0,"","Strength",2.8,1.5,2.0,310.0,360.0,"25.0-31.0",1.0,5.25,1000.0,500.0,1700.0,600.0,1800.0,800.0,22.0,15.0,16.0,"47.0-53.0",3.1,568.0,208.0,1.66,0.65,109.0,71.0,84.0,"156.0-162.0",10.94,2221.0,1092.0,4.27,3.37
"Legionnaire","Legion","melee",128.0,"","Strength",2.5,2.2,1.9,295.0,540.0,"24.0-28.0",0.0,5.5,1000.0,500.0,1700.0,600.0,1800.0,800.0,25.0,20.0,17.0,"49.0-53.0",2.8,625.0,221.0,1.75,0.69,105.0,92.0,82.0,"154.0-158.0",12.88,2145.0,1066.0,4.15,3.29
"Martyr","Legion","ranged",600.0,900.0,"Intelligence",2.4,1.4,2.4,300.0,540.0,"28.0-32.0",0.0,6.25,1000.0,430.0,1700.0,800.0,1800.0,800.0,21.0,14.0,22.0,"50.0-54.0",1.96,549.0,286.0,0.88,0.89,98.0,67.0,99.0,"149.0-153.0",9.38,2012.0,1287.0,3.19,3.97
